forename,surname,party,twitter_username,validated
Nathalie,Arthaud,Lutte ouvrière,@n_arthaud,1
Anne,Hidalgo,Parti socialiste,@Anne_Hidalgo,1
Jean,Lassalle,Résistons,@jeanlassalle,1
Valérie,Pécresse,Les Républicains – Soyons libres,@vpecresse,1
Fabien,Roussel,Parti communiste français,@Fabien_Roussel,1
François,Asselineau,Union populaire républicaine,@UPR_Asselineau,0
Nicolas,Dupont-Aignan,Debout la France,@dupontaignan,0
Yannick,Jadot,Europe Écologie Les Verts,@yjadot,1
Anasse,Kazib,Révolution permanente,@AnasseKazib,0
Marine,Le Pen,Rassemblement national,@MLP_officiel,0
Jean-Luc,Mélenchon,La France insoumise,@JLMelenchon,1
Philippe,Poutou,Nouveau Parti anticapitaliste,@PhilippePoutou,0
Éric,Zemmour,Reconquête,@ZemmourEric,0
Christiane,Taubira,Divers gauche,@ChTaubira,0
